ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0043434	response to peptide hormone	87/2449	310/12472	0.000183312064751087	0.00209489980061893	0.00140724962039926	PTPN2/SOCS1/EPM2AIP1/RELA/KL/INSIG2/CPEB2/SNX5/JAK3/SOCS2/BAIAP2/CFLAR/SOCS3/KANK1/RAB13/PTPN1/PRKDC/SLC39A14/STAT4/GJB2/EEF2K/NR4A3/EPRS1/IL10/ADM/SESN3/CAMK2A/ASS1/ERFE/EIF2B3/ZBED3/NFKB1/FBP1/LYN/GCLC/RETN/ZDHHC7/SRD5A1/MYO1C/SESN2/PCK2/SORT1/INSIG1/CTSK/HADH/EDN1/ADCY6/TLR2/PLCB1/LTA4H/CAT/SLC27A1/GRB10/FUT7/PDK2/GPT2/SLC2A8/IRS1/ACVR1C/DDR2/UCP2/FFAR3/EDNRB/KCNQ1/ALPL/INHBA/SORBS1/COL1A1/KHK/EREG/PPARG/ITGB3/BRIP1/TRIB3/HDAC9/GNAI1/CA2/LRP5/AREG/CEACAM1/TRPV4/LEP/NR4A1/CRHBP/SORL1/FBN1/NR4A2	87
GO:0042632	cholesterol homeostasis	23/2449	56/12472	0.000183440628545608	0.00209489980061893	0.00140724962039926	MED13/NPC1/APOC2/LDLR/CYP7B1/SOAT1/FABP3/EHD1/INSIG1/ABCA5/TTC39B/NR1D1/TMEM97/SCARB1/APOE/DGAT2/ABCA2/LIPG/IL18/HDAC9/LRP5/EPHX2/MIR34A	23
GO:0045123	cellular extravasation	23/2449	56/12472	0.000183440628545608	0.00209489980061893	0.00140724962039926	IL27RA/ICAM1/PTGER4/CHST2/ST3GAL4/MDK/JAML/TNF/MIR146A/PLCB1/SPN/PECAM1/ADAM8/FUT7/RIPOR2/EXT1/CCL2/CCR2/CX3CR1/ITGA4/ITGA1/LEP/SELL	23
GO:0070228	regulation of lymphocyte apoptotic process	23/2449	56/12472	0.000183440628545608	0.00209489980061893	0.00140724962039926	HIF1A/IDO1/BCL6/JAK3/CD274/IL10/IL7R/CD74/SLC39A10/LYN/WNT5A/GPAM/TP53/ADA/CCL5/PTCRA/BCL2/LGALS9/ADAM8/HSH2D/BIRC7/ARG2/PDCD1	23
GO:0006873	intracellular monoatomic ion homeostasis	103/2449	379/12472	0.000189343063796647	0.00214015976035477	0.00143765301302869	MCOLN2/CCL15/HIF1A/ATP6AP2/CCL14/GRINA/CCR7/CCL23/PLCB4/SLC11A2/CLIC4/CCL19/KCNJ2/SLC8A3/PPT1/SLC9A8/CREG1/TM9SF4/CD40/SLC39A14/CALM2/SLC39A8/SLC41A1/CCDC115/ERFE/PLCB2/SLC39A10/LYN/NOL3/WNT5A/SLC9A7/TGM2/SLC24A3/RYR1/ADORA1/PML/SLC4A5/CCL1/HVCN1/CCL5/FRRS1/EDN1/TMEM175/KCNMA1/FXN/BCL2/KEL/ATP13A3/PLCB1/TRPM2/MT1F/MTLN/BMP6/PDE4D/HAMP/TPCN1/DMD/SLC46A1/GSTM2/MT2A/CASQ1/ATP1B2/HFE/CCL8/P2RY1/SLAMF8/APOE/IFNG/CCL3/SLC4A8/CD19/ATP6V0E2/S100A9/CCR5/HCRTR1/TMC8/ATP1B1/KCNQ1/CCR2/CEMIP/P2RY6/SLC11A1/CYBRD1/SLC12A5/SYPL2/SV2A/CDH23/ITGB3/HTR2B/ATP1A4/FASLG/CCL13/ITPR3/SLC40A1/CA2/TRPV4/JPH4/MT1M/MT1E/ANK2/CXCL10/RHCG/IL1A	103
GO:0003073	regulation of systemic arterial blood pressure	20/2449	46/12472	0.000190200904766406	0.00214015976035477	0.00143765301302869	NDST2/ATP6AP2/KL/ECE1/ACE/PRCP/ADM/KCNK6/RPS6KA2/ADORA1/SLC4A5/TNF/EDN1/ADM2/SERPINF2/PDE4D/PTPRO/IER3/EDNRB/SUCNR1	20
GO:0006956	complement activation	20/2449	46/12472	0.000190200904766406	0.00214015976035477	0.00143765301302869	CFB/C1RL/CLU/PHB1/C5/C1S/C1R/CFD/A2M/FCN1/TREM2/CD55/FCN2/C1QC/C1QA/CR1/CFH/C2/VSIG4/CR2	20
GO:0031638	zymogen activation	20/2449	46/12472	0.000190200904766406	0.00214015976035477	0.00143765301302869	RIPK2/CTSL/C1RL/TBC1D10A/PLAT/MMP14/HPN/SERPINE2/RUNX1/C1R/PLAUR/VSIR/CLEC3B/PERP/SERPINF2/LGMN/CUZD1/THBD/SERPINE1/THBS1	20
GO:0031640	killing of cells of another organism	20/2449	46/12472	0.000190200904766406	0.00214015976035477	0.00143765301302869	NINJ1/MICA/CLEC7A/LYZ/C5/GBP1/GBP2/NKG7/GBP3/HAMP/APOL1/TREM1/CXCL6/IFNG/GZMB/PRF1/GBP5/GBP7/CCL13/S100A12	20
GO:0046633	alpha-beta T cell proliferation	20/2449	46/12472	0.000190200904766406	0.00214015976035477	0.00143765301302869	IL15/TWSG1/RIPK2/CD274/TGFBR2/EBI3/IL2RA/LGALS9B/VSIR/LGALS9/IL12B/CD55/IRF1/LGALS9C/CCR2/IL18/IL23A/TNFSF4/ARG2/CARD11	20
