category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Metabolism	Metabolism of terpenoids and polyketides	hsa00900	Terpenoid backbone biosynthesis	10/1346	23/9378	0.000688086405733938	0.00464458323870408	0.00339864540483969	23590/3157/3422/2342/100529261/3156/2224/4597/4598/51449	10
NA	NA	hsa04820	Cytoskeleton in muscle cells	51/1346	233/9378	0.00109045800176098	0.00722171242675666	0.00528444394100652	4001/22801/171024/114793/3678/3685/83660/4629/4628/1466/9672/6385/272/1462/375790/91010/7111/7139/271/3680/1291/3696/7136/1756/7414/4608/482/50509/3339/288/57731/3655/481/22795/3673/6641/23224/1277/3675/3690/165904/1293/480/3676/3693/1832/3672/2200/287/7057/7273	51
Human Diseases	Infectious disease: parasitic	hsa05143	African trypanosomiasis	13/1346	37/9378	0.00128009946134597	0.00825517828719588	0.00604067626953305	3620/169355/5332/3383/3586/5330/7124/23236/3593/8542/3458/3606/356	13
Organismal Systems	Immune system	hsa04657	IL-17 signaling pathway	25/1346	94/9378	0.00129354645525861	0.00825517828719588	0.00604067626953305	5970/4792/29110/1437/10758/7128/836/4790/5600/7124/8061/27189/7188/84818/6372/6361/3458/6280/6347/3576/2920/2921/3934/3627/2919	25
Metabolism	Lipid metabolism	hsa00561	Glycerolipid metabolism	19/1346	65/9378	0.00145102653165034	0.00909482701087981	0.00665508409253163	137964/55750/26007/154141/2710/56895/2713/55326/224/8611/129642/57678/231/501/84649/150763/9388/84803/219	19
Cellular Processes	Cell growth and death	hsa04216	Ferroptosis	14/1346	42/9378	0.00151500491065339	0.00932924076560243	0.00682661492519716	4891/84557/6303/2730/23516/64116/2729/2180/51703/7157/2182/246/23657/30061	14
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	47/1346	216/9378	0.00190541645557317	0.0115310547570032	0.00843777885952548	7410/5970/5533/5332/4792/834/29110/4217/3383/4775/836/958/805/10010/3949/815/5330/4790/4067/3665/5600/10454/7157/5606/10000/6352/7124/596/7097/23236/3593/29108/6348/948/6347/3310/3576/3606/5468/356/2920/4773/6349/414062/2921/114548/2919	47
Human Diseases	Drug resistance: antineoplastic	hsa01523	Antifolate resistance	11/1346	30/9378	0.0020196367641167	0.0120151271899146	0.00879199590445095	5970/4790/7124/2350/113235/471/6470/6573/2352/9429/8714	11
Metabolism	Amino acid metabolism	hsa00340	Histidine metabolism	9/1346	22/9378	0.0021411606691154	0.012465220427871	0.00912134888109321	224/4128/501/3034/144193/219/218/3067/4129	9
Metabolism	Amino acid metabolism	hsa00280	Valine, leucine and isoleucine degradation	15/1346	48/9378	0.00216632035925964	0.012465220427871	0.00912134888109321	1892/3157/18/84693/593/224/11112/549/3033/3712/501/594/586/5019/219	15
Environmental Information Processing	Signal transduction	hsa04630	JAK-STAT signaling pathway	38/1346	168/9378	0.00244801057481988	0.0138588985768028	0.0101411643506969	5771/3600/8651/3601/4170/9466/3718/8835/9021/1437/5156/6775/3586/3575/133396/1154/5154/10000/5008/3559/596/23529/5292/3593/3595/3574/3458/246778/1439/116379/2670/51561/5159/3976/894/3952/29949/3560	38
Organismal Systems	Immune system	hsa04623	Cytosolic DNA-sensing pathway	22/1346	83/9378	0.00257680830387563	0.0143565034073071	0.0105052836448731	5970/4792/834/29110/197259/836/4210/115004/4790/3665/6352/6351/9447/29108/23586/9560/388372/81030/58511/3606/114548/3627	22
Metabolism	Metabolism of other amino acids	hsa00410	beta-Alanine metabolism	11/1346	31/9378	0.00273053655810986	0.0147448974137932	0.0107894885858916	1892/18/1807/224/54498/51733/314/501/8639/219/218	11
NA	NA	hsa04981	Folate transport and metabolism	11/1346	31/9378	0.00273053655810986	0.0147448974137932	0.0107894885858916	10588/100528021/4522/2350/113235/6470/6573/2352/9429/8714/11309	11
Cellular Processes	Cellular community - eukaryotes	hsa04510	Focal adhesion	44/1346	203/9378	0.00282474696024157	0.0150225179249211	0.0109926356985477	7410/3909/22801/3918/3678/3685/2002/29780/83660/5156/7422/64098/3914/5058/5154/10000/4638/596/3680/56034/1291/3912/330/3696/7450/7414/3082/7448/3655/3673/5923/1277/3675/8395/3690/5159/1293/3676/3693/894/3672/4233/3911/7057	44
Human Diseases	Infectious disease: bacterial	hsa05135	Yersinia infection	32/1346	138/9378	0.00345701212300251	0.0181106157488639	0.0132523324118242	7410/63916/5970/3678/4792/834/29110/4775/10458/3937/3586/4210/6196/920/4790/5600/10454/5606/10000/7124/3984/29108/2212/27040/6347/644150/3576/3606/8395/3676/4773/114548	32
